Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
S1000,17,67.5,41.2,44.4,6.0,1
S1001,18,54.9,44.1,59.4,6.3,1
S1002,15,62.9,46.4,60.6,6.1,0
S1003,17,68.1,58.7,55.8,5.2,0
S1004,17,51.3,59.1,60.8,4.6,1
S1005,18,58.8,79.6,77.4,4.7,1
S1006,15,59.1,63.4,56.4,4.6,1
S1007,15,72.4,20.1,71.5,7.3,1
S1008,17,44.0,61.7,53.4,6.2,1
S1009,16,59.2,37.7,62.7,0.0,1
S1010,17,88.7,44.5,68.9,6.3,1
S1011,17,77.5,46.6,53.0,5.4,0
S1012,17,80.2,48.7,49.3,5.0,1
S1013,17,60.4,38.7,70.9,4.2,0
S1014,18,64.8,60.8,78.5,7.2,1
S1015,15,75.0,38.2,64.1,6.9,0
S1016,18,83.4,63.0,59.5,3.5,1
S1017,18,30.7,89.3,66.9,5.8,1
S1018,18,40.3,39.4,65.7,3.1,1
S1019,17,79.6,54.0,67.9,2.2,1
S1020,16,55.8,22.7,34.7,3.7,0
S1021,15,49.9,53.8,52.2,6.7,0
S1022,16,41.2,67.0,54.9,6.9,0
S1023,18,51.7,68.1,66.8,6.0,1
S1024,18,39.0,59.1,67.2,6.5,1
S1025,16,91.4,70.4,72.6,6.0,1
S1026,16,59.7,93.6,68.1,3.7,1
S1027,16,59.1,82.0,49.4,5.9,1
S1028,18,68.8,50.7,82.4,6.6,1
S1029,18,74.4,37.7,80.3,6.5,1
S1030,15,74.2,52.3,49.9,7.4,0
S1031,15,76.1,44.7,69.0,6.4,1
S1032,18,50.5,64.3,57.9,5.7,1
S1033,16,55.5,41.5,66.7,7.1,0
S1034,16,71.5,57.0,77.6,4.9,1
S1035,15,52.1,69.7,90.6,3.2,1
S1036,18,59.9,56.6,74.0,4.7,0
S1037,15,66.0,44.8,68.5,3.5,1
S1038,15,71.8,74.4,60.9,3.6,1
S1039,17,33.3,31.7,67.2,4.7,0
S1040,17,70.7,53.4,81.3,3.4,0
S1041,17,56.5,57.4,64.5,4.4,1
S1042,16,70.6,58.2,54.4,1.2,1
S1043,18,71.7,60.5,45.6,5.4,1
S1044,18,84.1,66.5,71.2,5.0,1
S1045,18,80.3,57.5,68.0,3.4,1
S1046,18,80.2,52.8,57.2,6.3,1
S1047,17,81.7,52.3,77.3,6.9,1
S1048,16,64.4,49.4,59.9,1.8,0
S1049,16,60.5,69.0,63.4,3.5,1
S1050,17,73.1,48.9,64.8,3.5,1
S1051,16,71.0,69.9,60.8,3.1,1
S1052,17,55.4,58.3,67.8,6.7,1
S1053,18,66.1,50.7,78.8,4.6,1
S1054,17,59.5,66.7,51.3,4.5,1
S1055,18,47.2,47.8,70.9,1.0,1
S1056,18,79.4,66.9,67.1,6.3,1
S1057,15,60.8,61.0,66.8,2.5,0
S1058,17,90.7,49.7,75.5,5.1,1
S1059,15,35.6,65.4,65.6,5.6,1
S1060,17,51.6,65.7,70.8,7.7,1
S1061,17,60.5,74.2,73.6,2.4,1
S1062,15,77.1,71.5,58.9,0.0,1
S1063,15,66.0,64.9,68.6,5.4,1
S1064,17,64.7,42.2,62.0,8.6,1
S1065,16,43.1,92.3,63.4,7.5,1
S1066,18,42.6,38.3,61.1,5.4,0
S1067,15,64.8,71.3,70.7,4.0,1
S1068,18,39.5,64.0,66.0,6.6,1
S1069,16,52.0,41.6,69.7,3.1,1
S1070,16,67.5,56.3,64.8,6.0,1
S1071,16,45.3,56.9,45.8,6.0,1
S1072,15,84.1,76.3,65.4,7.1,1
S1073,16,78.4,48.0,65.8,10.5,1
S1074,15,36.4,54.3,67.9,5.8,1
S1075,16,46.0,25.3,57.9,4.0,1
S1076,18,25.7,82.3,50.7,4.9,1
S1077,18,48.3,43.0,72.5,1.5,1
S1078,17,71.5,62.6,61.7,3.6,1
S1079,18,53.8,56.6,67.1,4.2,1
S1080,17,66.9,56.6,61.6,4.0,1
S1081,18,37.2,69.3,64.9,5.3,0
S1082,15,72.0,81.4,59.6,3.4,1
S1083,18,51.7,61.5,53.4,7.2,0
S1084,17,60.2,67.2,70.7,5.0,1
S1085,17,58.6,62.6,57.8,5.0,0
S1086,16,40.9,72.2,67.0,4.3,1
S1087,15,42.7,51.5,69.9,5.3,0
S1088,18,74.5,73.1,58.0,6.7,0
S1089,16,66.0,73.5,50.6,3.3,1
S1090,18,75.8,73.2,94.1,3.7,1
S1091,18,64.9,48.8,58.7,4.4,0
S1092,16,62.1,55.6,72.5,2.3,1
S1093,16,34.1,61.4,88.3,3.4,1
S1094,16,55.9,38.8,74.5,4.0,0
S1095,16,59.6,80.3,61.4,6.7,1
S1096,16,89.3,57.8,64.2,5.5,1
S1097,18,70.3,62.0,55.0,5.4,1
S1098,16,83.0,49.9,75.6,6.7,1
S1099,15,69.0,39.4,71.8,4.7,0
S1100,17,49.3,49.5,58.8,5.8,1
S1101,16,61.8,61.1,52.5,4.8,0
S1102,16,63.5,67.4,49.1,5.5,1
S1103,18,45.9,60.3,76.8,3.8,1
S1104,16,54.2,62.9,66.4,0.1,1
S1105,16,56.9,53.3,67.6,4.7,1
S1106,16,84.1,64.9,55.1,7.8,0
S1107,18,28.8,78.8,47.4,6.9,1
S1108,16,78.1,67.9,76.6,6.9,1
S1109,17,45.9,69.3,65.5,7.5,1
S1110,18,39.4,62.1,75.9,5.2,1
S1111,17,77.7,37.0,60.4,5.4,1
