study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
11.5,80.4,Yes,73.1,Pass
9.6,83.4,Yes,61.8,Fail
11.9,91.2,Yes,60.7,Fail
14.6,90.8,No,61.5,Fail
9.3,54.3,No,73.9,Fail
9.3,60.9,No,61.7,Pass
14.7,82.7,No,72.3,Pass
12.3,82.7,No,99.1,Pass
8.6,82.7,No,81.1,Fail
11.6,100.0,No,63.1,Pass
8.6,83.6,No,86.0,Pass
8.6,92.0,Yes,61.9,Fail
10.7,89.3,Yes,37.4,Fail
4.3,84.8,Yes,52.9,Fail
4.8,70.3,No,39.9,Fail
8.3,86.4,No,62.7,Pass
7.0,63.4,Yes,68.3,Fail
10.9,71.4,No,93.1,Pass
7.3,67.7,No,72.9,Fail
5.8,76.2,Yes,64.7,Fail
14.4,100.0,Yes,80.4,Pass
9.3,47.0,No,34.8,Fail
10.2,85.3,Yes,71.5,Fail
5.7,50.8,No,79.6,Fail
8.4,67.9,Yes,45.8,Fail
10.3,91.3,No,85.2,Fail
6.5,76.0,No,73.1,Fail
11.1,58.8,No,61.8,Pass
8.2,64.3,No,77.5,Fail
9.1,85.2,Yes,100.0,Pass
8.2,64.0,Yes,70.7,Fail
15.6,78.2,Yes,71.7,Pass
10.0,75.7,No,61.1,Pass
6.8,65.2,No,55.3,Fail
12.5,100.0,No,80.5,Fail
6.3,84.5,Yes,55.2,Fail
10.6,44.6,Yes,69.1,Fail
4.1,77.8,Yes,60.8,Fail
6.0,65.1,Yes,75.2,Fail
10.6,87.8,No,73.0,Fail
12.2,63.1,Yes,83.6,Pass
10.5,73.3,Yes,60.3,Fail
9.7,82.6,No,64.0,Pass
9.1,88.0,Yes,53.3,Fail
5.6,57.0,Yes,61.3,Fail
7.8,70.0,No,73.7,Pass
8.6,67.9,Yes,79.4,Fail
13.2,65.2,No,54.2,Fail
11.0,100.0,No,81.0,Pass
4.7,81.1,No,88.3,Fail
11.0,56.1,Yes,74.2,Fail
8.8,88.8,No,96.2,Pass
8.0,100.0,Yes,56.4,Fail
11.8,90.5,Yes,49.3,Pass
13.1,52.2,Yes,41.3,Fail
12.8,67.7,No,90.4,Fail
7.5,94.0,Yes,77.8,Fail
9.1,64.4,Yes,67.2,Fail
11.0,81.7,No,72.2,Fail
12.9,86.6,Yes,51.1,Fail
8.6,61.1,Yes,100.0,Pass
9.4,74.1,Yes,69.9,Fail
6.7,40.0,Yes,69.6,Pass
6.4,59.6,Yes,78.9,Fail
12.4,71.2,Yes,75.2,Pass
14.1,56.3,No,71.4,Pass
9.8,99.5,Yes,56.1,Pass
13.0,53.5,Yes,75.1,Fail
11.1,68.4,No,96.2,Pass
8.1,77.0,Yes,88.2,Fail
11.1,96.6,No,91.9,Pass
14.6,53.5,Yes,60.3,Pass
9.9,92.4,Yes,53.2,Fail
14.7,75.2,Yes,66.1,Fail
2.1,60.3,Yes,68.8,Fail
12.5,81.9,Yes,84.4,Pass
10.3,78.0,Yes,42.6,Fail
9.1,66.0,Yes,90.9,Pass
10.3,76.0,Yes,65.6,Pass
4.0,69.2,Yes,61.6,Pass
9.3,76.7,Yes,52.8,Fail
11.1,84.9,Yes,43.2,Pass
14.4,98.8,Yes,80.3,Fail
8.4,56.4,No,69.1,Fail
7.6,100.0,Yes,48.7,Fail
8.5,45.7,No,48.6,Fail
12.7,72.7,No,63.0,Fail
11.0,83.8,Yes,93.0,Pass
8.4,79.2,No,64.1,Fail
11.5,65.7,No,45.5,Fail
10.3,71.9,Yes,64.3,Fail
12.9,67.6,Yes,63.9,Fail
7.9,66.2,No,30.0,Fail
9.0,87.7,No,67.2,Fail
8.8,80.4,Yes,64.5,Fail
5.6,64.6,Yes,78.4,Pass
10.9,88.5,Yes,95.7,Pass
10.8,79.6,Yes,84.9,Fail
10.0,87.2,No,64.0,Pass
9.3,84.4,Yes,51.4,Pass
5.8,62.6,Yes,100.0,Pass
8.7,66.6,No,68.9,Pass
9.0,86.2,Yes,68.2,Pass
7.6,84.2,Yes,67.6,Pass
9.5,74.7,No,71.0,Pass
11.2,76.8,No,65.8,Pass
15.7,94.2,Yes,59.4,Fail
10.5,66.1,Yes,59.8,Fail
10.8,83.2,Yes,67.5,Pass
